"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"369",1,34,465,1,0,1,0,0,0,0,"left","end",0,11,0,0
"372",1,20,319,2,0,2,1,0,0,0,"left","end",0,11,0,0
"374",1,13,203,2,0,1,0,0,0,0,"right","end",0,18,0,0
"1",1,75,3504,1,0,-1,1,0,0,0,"left","end",0,-7,0,0
"32",0,75,695,1,0,0,1,0,0,0,"left","tackle",0,-10,0,0
"34",0,59,180,3,0,0,1,0,0,0,"right","guard",0,-7,0,0
"40",1,23,3181,1,0,-3,0,0,0,0,"middle","center",0,7,0,0
"42",1,83,2860,2,0,-7,0,0,0,0,"left","end",0,14,0,0
"43",1,85,2656,1,0,0,0,0,0,0,"middle","center",0,14,0,0
"44",1,59,2569,1,0,-4,0,0,0,0,"right","end",0,14,0,0
"47",1,43,1544,1,0,0,0,0,0,0,"middle","center",0,14,0,0
"50",1,77,925,2,0,0,0,0,0,0,"middle","center",0,17,0,0
"51",1,45,668,1,0,0,0,0,0,0,"middle","center",0,10,0,0
"52",1,33,569,1,0,-5,0,0,0,0,"right","end",0,10,0,0
"55",1,7,217,2,1,0,0,0,0,0,"right","end",0,13,0,0
"74",0,15,1351,3,0,0,0,0,0,0,"middle","center",0,-11,0,0
"92",0,27,68,1,0,0,0,0,0,0,"left","end",0,-1,0,0
"101",0,59,2543,1,0,-1,0,0,0,0,"left","tackle",0,-14,0,0
"105",0,10,2216,2,0,-1,1,0,0,0,"left","guard",0,-14,0,0
"106",0,54,1977,1,0,0,0,0,0,0,"left","tackle",0,-7,0,0
"109",0,75,1729,1,0,0,0,0,0,0,"left","guard",0,-11,0,0
"119",0,27,503,2,0,-1,0,0,0,0,"left","guard",0,-4,0,0
"121",0,20,413,1,0,0,0,0,0,0,"left","tackle",0,-4,0,0
"135",1,17,2130,2,0,0,0,0,0,0,"left","end",0,-3,0,0
"138",1,55,1760,1,0,0,0,0,0,0,"middle","center",0,0,0,0
"148",0,10,3427,1,1,-3,0,0,0,0,"right","guard",0,0,0,0
"149",0,1,3342,4,1,0,0,0,0,0,"right","guard",0,0,0,0
"151",0,97,3046,1,0,0,0,0,0,0,"left","tackle",0,0,0,0
"163",0,91,2102,1,0,0,0,0,0,0,"right","guard",0,3,0,0
"168",0,48,1629,3,0,0,0,0,0,0,"middle","center",0,-1,0,0
"173",0,15,1406,2,0,-6,0,0,0,0,"middle","center",0,-1,0,0
"176",0,45,1174,2,0,-2,0,0,0,0,"right","tackle",0,2,0,0
"185",0,17,148,2,0,0,0,0,0,0,"right","guard",0,14,0,0
"187",0,10,138,2,0,-2,0,0,0,0,"left","tackle",0,14,0,0
"192",1,36,2641,1,0,0,0,0,0,0,"middle","center",0,6,0,0
"193",1,95,2513,1,0,0,0,0,0,0,"middle","center",0,6,0,0
"194",1,60,2414,1,0,-4,1,0,0,0,"middle","center",0,6,0,0
"196",1,42,2255,2,0,-3,0,0,0,0,"right","end",0,6,0,0
"199",1,13,2107,2,0,0,0,0,0,0,"right","end",0,6,0,0
